Candidate,CV_Rank,Model,Feature_Set,Feature_Set_Description,Complexity_Rank,Raw_Feature_Count,CV_R2_Mean,CV_R2_SD,CV_Train_R2_Mean,CV_Gap_Mean,CV_Gap_SD,CV_MAE_Mean,CV_RMSE_Mean,Train_R2,Train_MAE,Train_RMSE,Test_R2,Test_MAE,Test_RMSE,Train_Test_R2_Gap,Best_Params,Selected_Regularized,Section,Split_Seed,Train_n,Test_n
GradientBoosting_regularized__no_label_ni_mf5_no_num_indicators,,GradientBoosting_regularized,no_label_ni_mf5_no_num_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators removed.,,30.0,0.759518152532816,0.0556846114933215,,0.1355753602816689,,,,0.897418867773283,,,0.7167510818750411,13.943577584656705,20.257308169382803,0.1806677858982418,,,Feature-set comparison,,,
GradientBoosting_regularized__no_label_ni_mf5_with_indicators,,GradientBoosting_regularized,no_label_ni_mf5_with_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators retained.,,30.0,0.7533986918194249,0.0556622622390929,,0.1416101771741795,,,,0.8987335696980562,,,0.7178341312441456,13.75105214682244,20.21854248289804,0.1808994384539105,,,Feature-set comparison,,,
,,,,,,,,,,,,,,0.897418867773283,,,0.7167510818750411,13.943577584656705,20.257308169382803,0.1806677858982418,,,Random-seed stability,42.0,463.0,116.0
,,,,,,,,,,,,,,0.8902732319544637,,,0.828570666254933,10.188078927080142,15.4648618730599,0.0617025656995307,,,Random-seed stability,43.0,463.0,116.0
,,,,,,,,,,,,,,0.8858136404177318,,,0.7390898354424995,11.126250761591526,17.972692244208453,0.1467238049752323,,,Random-seed stability,44.0,463.0,116.0
,,,,,,,,,,,,,,0.891928969378505,,,0.7201418818815025,12.539895492041978,18.877595039261188,0.1717870874970024,,,Random-seed stability,45.0,463.0,116.0
,,,,,,,,,,,,,,0.8799773880400101,,,0.79697071924851,10.805711930398894,16.040777335697232,0.0830066687915001,,,Random-seed stability,46.0,463.0,116.0
,,,,,,,,,,,,,,0.8857523887074287,,,0.7772945607022902,10.826085917793169,17.22530631506529,0.1084578280051384,,,Random-seed stability,47.0,463.0,116.0
,,,,,,,,,,,,,,0.8953133094148029,,,0.7253766035143636,12.130911958214162,18.458104393269466,0.1699367059004393,,,Random-seed stability,48.0,463.0,116.0
,,,,,,,,,,,,,,0.8881660703758645,,,0.6853994044414338,11.916157478368032,18.673007525296335,0.2027666659344307,,,Random-seed stability,49.0,463.0,116.0
,,,,,,,,,,,,,,0.8869025599618465,,,0.7510493148628121,12.00643782499719,18.14141304879041,0.1358532450990344,,,Random-seed stability,50.0,463.0,116.0
,,,,,,,,,,,,,,0.9006145915982353,,,0.7828233624938274,11.052670205635158,16.73111941538037,0.1177912291044078,,,Random-seed stability,51.0,463.0,116.0
